=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.06.29 00:47:55 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,Accel X Avg,Accel Y Avg,Accel Z Avg,Gyro X Avg,Gyro Y Avg,Gyro Z Avg,Temp Avg 
-0.02,0,9.83,28.44,-0.12,-0.02,0.14,,-0.0138,0.0082,9.8156,0.0057,0.001,-0.0029,28.5116
-0.03,0.04,9.82,28.44,0.05,-0.07,0.04,,,,,,,,
0,-0.04,9.84,28.39,0.01,-0.01,0.02,,Accel X Err%,Accel Y Err%,Accel Z Err%,Gyro X Err%,Gyro Y Err%,Gyro Z Err%,Temp Err%
-0.01,0,9.8,28.48,-0.04,0.15,-0.02,,-2.38,-0.18,0.000570846,-0.43,-0.9,-1.29,0.193453328
-0.04,-0.02,9.8,28.48,-0.12,-0.13,0.03,,,,,,,,
-0.06,0.06,9.84,28.44,0.06,0.08,-0.1,,,,,,,,
-0.01,-0.08,9.87,28.48,0.02,0.09,0.05,,,,,,,,
-0.02,-0.01,9.83,28.53,-0.18,0.06,0.07,,,,,,,,
0.02,-0.05,9.83,28.53,0.11,0.07,-0.15,,,,,,,,
0,0.03,9.78,28.62,-0.05,-0.01,0.11,,,,,,,,
0.03,0,9.8,28.53,-0.07,-0.12,-0.08,,,,,,,,
-0.04,0.01,9.73,28.58,-0.07,0,0.25,,,,,,,,
0.03,0.03,9.93,28.58,-0.05,-0.11,-0.07,,,,,,,,
0.02,-0.01,9.63,28.53,-0.04,-0.1,-0.01,,,,,,,,
-0.02,0.03,9.83,28.62,-0.1,-0.03,0.07,,,,,,,,
-0.07,-0.02,9.75,28.53,-0.02,0.04,-0.01,,,,,,,,
0,-0.02,9.89,28.48,0.12,0.05,-0.05,,,,,,,,
-0.03,-0.05,9.79,28.53,-0.02,0,0.05,,,,,,,,
0.02,-0.01,9.76,28.58,0.07,-0.02,0.02,,,,,,,,
0,-0.03,9.78,28.44,0.11,-0.1,0.06,,,,,,,,
-0.04,0.06,9.78,28.53,-0.05,0,-0.11,,,,,,,,
0.01,-0.01,9.81,28.48,0.02,-0.05,-0.02,,,,,,,,
0.02,0.04,9.82,28.53,-0.13,0.11,-0.02,,,,,,,,
-0.04,-0.01,9.82,28.53,0.05,-0.02,-0.01,,,,,,,,
-0.07,0.03,9.8,28.48,-0.06,-0.03,-0.14,,,,,,,,
0,0,9.8,28.39,0.51,0.41,-0.09,,,,,,,,
0.02,-0.02,9.75,28.48,0.02,0,-0.01,,,,,,,,
-0.01,-0.04,9.83,28.53,0.08,-0.06,-0.03,,,,,,,,
0.01,0.03,9.83,28.58,0.01,0.11,0.12,,,,,,,,
-0.01,-0.08,9.84,28.48,0.01,0.01,0.07,,,,,,,,
0.06,0.08,9.77,28.48,0.04,0.02,0,,,,,,,,
-0.01,0,9.8,28.53,-0.15,-0.16,-0.05,,,,,,,,
-0.04,0.04,9.83,28.48,0.04,-0.15,0.15,,,,,,,,
-0.01,-0.02,9.76,28.62,0.01,0.06,0.05,,,,,,,,
-0.04,0.02,9.81,28.48,0.11,0.01,-0.04,,,,,,,,
-0.01,0.03,9.86,28.53,-0.12,0.01,0.11,,,,,,,,
-0.06,0.04,9.82,28.39,-0.02,0.03,-0.15,,,,,,,,
0.05,0.04,9.76,28.53,0.09,0,0.02,,,,,,,,
-0.04,-0.04,9.83,28.62,0.06,-0.08,-0.02,,,,,,,,
0.01,0,9.82,28.58,0.13,0.03,0.04,,,,,,,,
-0.05,0.02,9.83,28.44,0.07,0,0.01,,,,,,,,
-0.01,0.02,9.77,28.58,0.07,0.02,-0.11,,,,,,,,
-0.04,0.06,9.81,28.48,0.06,0.01,-0.03,,,,,,,,
0.03,-0.02,9.83,28.53,-0.08,-0.01,0.04,,,,,,,,
-0.01,0.06,9.85,28.53,0.09,-0.05,0.03,,,,,,,,
-0.05,0.03,9.8,28.53,-0.04,0.06,-0.05,,,,,,,,
0.06,-0.01,9.75,28.44,-0.16,-0.09,0.02,,,,,,,,
-0.05,0.05,9.86,28.44,0.02,-0.09,-0.14,,,,,,,,
0.02,0.02,9.85,28.58,0.02,0,-0.02,,,,,,,,
-0.03,0.02,9.75,28.48,0.04,0.04,-0.03,,,,,,,,
-0.04,0,9.82,28.53,-0.08,-0.03,0.05,,,,,,,,
-0.07,-0.03,9.86,28.44,-0.05,-0.09,-0.03,,,,,,,,
-0.07,0.01,9.81,28.53,-0.08,-0.05,-0.01,,,,,,,,
-0.02,-0.02,9.81,28.48,-0.02,0.14,-0.13,,,,,,,,
0,-0.03,9.77,28.53,-0.15,0.14,-0.04,,,,,,,,
-0.05,0.06,9.88,28.62,-0.01,-0.08,0.04,,,,,,,,
-0.05,0.03,9.83,28.53,0,0.1,-0.08,,,,,,,,
