=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.06.29 00:21:22 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,Accel X Avg,Accel Y Avg,Accel Z Avg,Gyro X Avg,Gyro Y Avg,Gyro Z Avg,Temp Avg 
0.17,0.09,9.87,28.06,0,0.02,-0.14,,0.1244,0.1151,9.827,0.0299,0.0764,0.0373,28.0169
0.19,0.1,9.81,28.01,0.1,0,0.07,,,,,,,,
0.09,0.17,9.67,27.97,-0.01,-0.04,0.07,,Accel X Err%,Accel Y Err%,Accel Z Err%,Gyro X Err%,Gyro Y Err%,Gyro Z Err%,Temp Err%
0.12,0.14,9.8,28.01,0.04,0.12,0.07,,11.44,10.51,0.001732926,1.99,6.64,2.73,0.172745919
0.09,0.13,9.86,27.97,0.12,0.24,-0.01,,,,,,,,
0.11,0.13,9.84,28.01,0.02,-0.02,0.05,,,,,,,,
0.12,0.14,9.81,27.97,0.06,0.03,-0.09,,,,,,,,
0.12,0.14,9.76,28.01,0.13,0.09,0.02,,,,,,,,
0.11,0.11,9.8,27.97,-0.01,0.09,0,,,,,,,,
0.11,0.11,9.86,28.01,-0.03,0.14,0.01,,,,,,,,
0.19,0.12,9.84,28.06,0,0.11,-0.04,,,,,,,,
0.13,0.1,9.85,28.01,0.06,0.14,0.12,,,,,,,,
0.08,0.12,9.85,28.06,0,0.12,0.16,,,,,,,,
0.16,0.12,9.79,28.01,0.01,0.17,0.05,,,,,,,,
0.1,0.12,9.84,28.06,0.17,0.05,0.1,,,,,,,,
0.08,0.14,9.79,28.11,0,0.11,0.06,,,,,,,,
0.12,0.15,9.78,27.97,0.15,0.08,-0.01,,,,,,,,
0.17,0.14,9.9,28.01,0.07,-0.03,-0.02,,,,,,,,
0.11,0.17,9.88,27.97,0.01,0.21,0.12,,,,,,,,
0.13,0.18,9.8,27.92,0.03,0.14,-0.07,,,,,,,,
0.12,0.09,9.87,28.06,-0.01,0.18,-0.02,,,,,,,,
0.14,0.07,9.76,28.01,0.09,0.24,-0.05,,,,,,,,
0.14,0.05,9.87,28.06,-0.07,0.1,0.01,,,,,,,,
0.16,0.13,9.88,28.01,0.19,0.15,-0.01,,,,,,,,
0.09,0.14,9.76,27.97,-0.1,0.01,0.1,,,,,,,,
0.12,0.11,9.86,28.11,-0.06,0.14,0.06,,,,,,,,
0.07,0.17,9.85,27.97,-0.14,-0.02,-0.01,,,,,,,,
0.1,0.11,9.85,28.01,0.13,0.19,-0.2,,,,,,,,
0.13,0.18,9.72,27.97,-0.04,0.16,-0.07,,,,,,,,
0.09,0.12,9.83,27.92,0.18,0.07,0.13,,,,,,,,
0.11,0.06,9.87,27.97,-0.07,0.04,0.16,,,,,,,,
0.15,0.06,9.81,28.01,0.02,0.05,0.07,,,,,,,,
0.16,0.14,9.9,27.97,-0.03,0.17,-0.04,,,,,,,,
0.06,0.1,9.87,28.11,0.09,-0.05,-0.03,,,,,,,,
0.13,0.11,9.78,27.97,0.12,-0.06,0.11,,,,,,,,
0.11,0.09,9.78,28.01,-0.03,0.12,0.11,,,,,,,,
0.14,0.15,9.84,28.06,-0.11,0.03,0.04,,,,,,,,
0.12,0.1,9.85,28.01,0.11,0.16,0.06,,,,,,,,
0.1,0.12,9.79,28.06,-0.05,0.02,0.01,,,,,,,,
0.02,0.15,9.83,28.01,0.06,0.09,-0.01,,,,,,,,
0.12,0.1,9.77,28.06,-0.06,0.1,0.06,,,,,,,,
0.17,0.13,9.86,27.97,-0.09,0.05,0.11,,,,,,,,
0.17,0.13,9.92,28.01,0.06,0.14,0.07,,,,,,,,
0.16,0.15,9.84,28.01,0.05,0.05,0.17,,,,,,,,
0.12,0.14,9.85,28.01,-0.01,0.14,0.01,,,,,,,,
0.12,0.06,9.85,28.06,-0.05,0.01,0.12,,,,,,,,
0.08,0.11,9.82,27.92,-0.06,0.16,0.05,,,,,,,,
0.1,0.12,9.89,27.97,0.08,0,0.18,,,,,,,,
